Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
FRA;France;2021;64502346;Western Europe;32490;14;0;;;;18;82;3;;68;8;;22;4;3;4;;92;;100;;9;7;8;100;;50;;11;;6;15;1;39;45;21;;;;100;90;6;19;;27247;1;3;;13;;7;67;158;2;;93;3;2;2;29;;25;44;;;;6;20;;;;5;5;76;;82;;;1;81;;78;;77;71;;;;;1;1;1;1;;
FRA;France;2022;64560542;Western Europe;33180;16;0;;;;;82;;;65;;;21;;5;;;;;100;54;;7;8;;478;50;29;13;21;6;;1;37;45;19;;;;100;90;11;;;;1;;;12;;8;67;161;;;92;2;;2;30;;24;;;7;;;;;;;;;76;;82;;;1;81;;78;;79;72;;;;;1;1;1;1;;
FRA;France;2023;64692714;Western Europe;33290;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;79;;;;;;;;;;;
DEU;Germany;2018;82764764;Western Europe;35650;16;1;3;;;30;81;3;241;66;7;11;28;4;0;4;;91;;100;14;13;7;10;94;500;32;21;8;18;8;20;1;31;34;17;0;6;96;100;97;3;17;1;28711;1;1;0;9;3;9;74;322;3;4;94;2;2;2;31;1;19;67;13;14;13;;12;2;34,37;29;9;8;93;26;81;11;8;1;78;;78;27;86;80;13;0;8;24;1;1;1;1;87;83
DEU;Germany;2019;83028627;Western Europe;35950;15;0;3;19;;29;81;3;231;66;6;10;31;4;1;4;5;91;;100;;13;7;10;94;;33;;8;;8;19;1;32;36;17;0;3;96;100;97;3;17;1;29047;1;1;;9;3;8;75;322;3;;95;0;2;2;30;1;21;67;11;14;12;;13;2;;;9;8;93;;81;12;8;1;79;;79;26;85;80;13;0;6;23;1;1;1;1;87;76
DEU;Germany;2020;83267655;Western Europe;34550;16;1;6;;;26;81;3;238;64;5;10;30;4;0;3;;91;23;100;18;12;7;10;94;;35;;8;;8;18;;31;36;18;0;;;100;97;7;19;;29567;1;1;;10;4;9;75;311;3;;96;0;2;2;31;;22;70;;9;12;;13;2;;;8;7;90;;81;;;1;79;;79;25;88;80;8;0;3;;1;1;1;1;;
DEU;Germany;2021;83390320;Western Europe;35630;16;1;;;;26;81;4;;63;5;;27;4;0;3;;91;;100;;12;7;13;93;;37;;8;;7;18;1;35;36;19;;;;100;97;3;19;;30447;1;1;;10;;9;76;311;3;;92;2;2;2;31;;22;68;;11;;13;13;;;;8;7;90;;81;;;1;79;;79;;85;80;;;;;1;1;1;1;;
DEU;Germany;2022;83426789;Western Europe;36010;15;1;;;;;81;;;64;;;26;;0;;;;;;19;11;7;12;;482;37;30;8;19;8;;1;35;37;19;;;;100;97;7;;;32197;1;;;9;;7;76;297;;;91;0;;2;29;;24;;;12;;;;;;;;;90;;81;;;1;79;;79;;82;79;;;;;1;1;1;1;;
DEU;Germany;2023;83312897;Western Europe;35590;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;82;;;;;;;;;;;
GRC;Greece;2018;10661839;Southern Europe;17430;19;2;17;;;11;82;2;229;76;4;5;8;4;19;7;;97;;100;7;36;5;5;51;453;43;36;5;12;22;10;1;18;9;16;0;12;95;99;90;23;18;1;14789;1;1;0;19;19;11;36;11;1;3;76;22;1;2;32;1;44;20;13;40;13;;3;2;39,98;23;7;5;97;64;87;30;12;1;87;;90;;71;45;14;1;2;31;1;1;1;0;84;2
GRC;Greece;2019;10604702;Southern Europe;17780;18;3;16;17;;11;82;3;231;79;5;5;10;4;17;6;0;97;;100;;34;6;4;69;;42;;4;;21;;1;22;10;20;0;13;94;99;91;18;20;1;15624;1;1;;18;17;10;36;13;1;;79;20;1;2;31;1;46;21;14;36;13;;4;2;;;6;5;96;;87;21;9;1;87;;90;;71;48;17;1;0;27;1;1;1;0;85;2
GRC;Greece;2020;10543346;Southern Europe;16150;18;3;17;;;11;81;4;245;79;4;4;9;4;16;6;;97;42;100;8;33;6;4;;;44;;4;;19;;1;22;13;27;0;;95;99;91;17;22;;15018;1;1;;19;16;10;37;13;2;;80;17;1;2;31;;44;;;33;13;;4;2;;;5;4;97;;87;;;1;87;;90;;71;50;18;1;0;;1;0;1;0;;
GRC;Greece;2021;10481118;Southern Europe;17600;20;3;;;;11;80;4;;78;4;;6;4;8;6;;97;;100;;33;6;3;;;44;;4;;20;;1;21;20;21;;;95;99;92;18;22;;16343;1;;;17;;11;40;19;1;;85;13;1;2;32;;43;;;29;;5;3;;;;5;5;96;;87;;;1;87;;90;;71;49;;;;;1;0;1;0;;
GRC;Greece;2022;10409612;Southern Europe;18690;19;2;;;;;81;;;77;;;9;;10;;;;;;26;;6;4;;436;45;47;4;12;21;;1;19;24;20;;;;99;92;19;;;;1;;;15;;11;43;18;;;85;14;;2;31;;42;;;27;;;;;;;;;97;;87;;;1;87;;90;;56;52;;;;;1;0;1;0;;
GRC;Greece;2023;10360330;Southern Europe;19150;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;55;;;;;;;;;;;
HUN;Hungary;2018;9779244;Central and Eastern Europe;12690;13;3;10;;;13;76;4;502;61;7;17;22;4;2;7;;99;;94;22;27;6;13;92;479;31;26;6;23;11;14;1;13;15;9;3;1;80;96;88;6;13;2;14981;1;2;0;11;4;8;30;12;2;3;83;11;1;1;29;1;27;37;18;10;23;;7;1;44,02;19;5;4;72;;;;;1;84;;87;;71;46;5;1;8;18;1;0;0;0;85;6
HUN;Hungary;2019;9773471;Central and Eastern Europe;13310;12;2;9;25;;13;77;4;489;58;6;16;25;4;1;6;4;99;;94;;28;6;12;93;;31;;6;;11;18;1;12;13;11;3;1;80;98;88;5;13;1;15720;1;2;;11;3;8;33;10;1;;86;10;1;1;28;1;27;36;14;4;22;;7;1;;;5;4;71;;;;;1;84;;87;;70;44;5;1;5;17;1;0;0;0;85;6
HUN;Hungary;2020;9770120;Central and Eastern Europe;12740;12;2;8;;;14;76;4;530;62;5;17;24;4;1;5;;99;28;94;23;26;6;12;93;;31;;5;;11;17;1;13;10;12;2;;81;99;88;4;14;;15754;1;2;;12;4;8;33;11;2;;88;10;1;1;28;;22;32;;5;20;;5;1;;;5;3;70;;;;;1;84;;87;;69;44;5;1;4;;1;0;0;0;;
HUN;Hungary;2021;9731025;Central and Eastern Europe;13690;13;2;;;;14;74;5;;65;4;;26;4;1;6;;99;;95;;25;6;12;93;;33;;6;;11;17;1;13;9;14;;;84;100;88;5;14;;17170;1;2;;12;;8;36;12;2;;91;9;1;1;28;;24;35;;2;;;7;;;;5;4;60;;;;;1;84;;87;;68;43;;;;;1;0;0;0;;
HUN;Hungary;2022;9688547;Central and Eastern Europe;14360;12;2;;;;;76;;;63;;;27;;1;;;;;;36;28;6;12;;477;32;29;8;25;10;;1;13;10;14;;;;100;88;5;;;;1;;;11;;7;38;11;;;91;8;;1;27;;24;;;8;;;;;;;;;63;;;;;1;84;;87;;60;42;;;;;1;0;0;0;;
HUN;Hungary;2023;10246068;Central and Eastern Europe;14370;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;63;;;;;;;;;;;
ISL;Iceland;2018;348683;EFTA;39870;9;0;1;;;3;83;;178;77;3;10;20;3;5;5;;91;;100;15;16;;22;97;481;47;21;22;9;6;14;;38;46;17;0;0;;100;;1;77;0;;;2;1;5;3;7;44;94;2;3;99;0;2;5;23;;28;28;6;9;19;;;4;48,04;128;10;12;;27;15;32;2;1;18;;36;;86;76;3;0;4;7;;;;0;78;1
ISL;Iceland;2019;357209;EFTA;39920;;0;;22;;3;83;;162;;4;11;;3;;2;2;92;;100;;16;8;18;97;;47;;22;;6;14;0;38;46;19;;0;;100;;;79;0;;;1;;6;4;;47;139;2;;98;0;;5;;;;;6;;;;;4;;;10;10;;;15;38;2;1;18;;36;;85;78;;0;;;;;;0;78;1
ISL;Iceland;2020;364340;EFTA;36690;;0;;;;3;83;;156;;4;13;;3;;2;;93;;100;38;15;8;15;96;;42;;20;;6;12;0;40;44;21;;;;100;;;84;;;;2;;7;6;;45;112;2;;98;0;;5;;;;26;;;;;;4;;;9;8;;;15;;;1;18;;36;;85;75;;1;;;;;;0;;
ISL;Iceland;2021;368998;EFTA;38000;;0;;;;3;83;;;;3;;;3;;2;;92;;100;;15;8;14;97;;42;;24;;7;10;0;48;47;24;;;;100;;;86;;;;0;;7;;;44;169;3;;98;0;2;5;;;;26;;;;19;;;;;9;8;;;16;;;1;20;;36;;85;74;;;;;;;;0;;
ISL;Iceland;2022;371672;EFTA;40430;;0;;;;;82;;;;;;;;;;;;;;;15;7;17;;447;40;34;27;9;5;;0;48;45;20;;;;100;;;;;;;;;5;;;45;128;;;;;;5;;;;;;;;;;;;;;;;;16;;;1;20;;36;;83;74;;;;;;;;0;;
ISL;Iceland;2023;374125;EFTA;41030;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;83;;;;;;;;;;;
IRL;Ireland;2018;4802050;Western Europe;57610;15;0;5;;;30;82;1;208;84;7;9;22;3;3;3;;92;;100;7;12;7;5;100;505;56;16;13;12;12;11;3;24;19;19;0;1;62;96;79;4;11;1;20359;;2;1;12;6;5;53;170;1;3;89;11;1;3;29;1;4;38;9;3;12;;2;1;120,27;64;8;14;71;25;78;13;10;1;79;1;99;13;85;73;10;0;4;20;;;;0;86;-126
IRL;Ireland;2019;4866964;Western Europe;59840;13;0;5;;;28;83;1;198;84;6;8;21;3;2;3;6;91;;100;;12;7;5;100;;55;;13;;13;11;2;24;26;21;0;1;62;96;79;5;12;1;21192;;2;;11;5;4;54;179;1;;91;6;1;3;28;;6;37;9;4;13;;2;1;;;8;25;73;;83;17;10;1;83;1;99;14;85;74;9;0;5;20;;;;0;87;-130
IRL;Ireland;2020;4925074;Western Europe;63120;14;0;4;;;27;83;0;211;84;5;10;19;3;3;3;;92;18;100;15;11;7;5;100;;58;;11;;13;10;2;27;29;21;0;;62;96;80;3;16;;21945;1;2;;14;6;6;53;197;1;;92;2;1;3;28;;9;41;;5;17;;2;1;;;7;18;75;;83;;;1;83;1;99;14;87;72;11;0;3;;1;1;1;0;;
IRL;Ireland;2021;4967164;Western Europe;72110;13;0;;;;29;82;1;;81;5;;25;3;3;3;;90;;100;;11;7;3;96;;62;;14;;10;;2;28;30;20;;;62;96;80;3;13;;23433;1;1;;10;;4;53;202;1;;98;2;1;4;27;;6;;;3;;10;2;;;;8;14;78;;83;;;1;83;;99;;88;74;;;;;1;1;1;0;;
IRL;Ireland;2022;5005888;Western Europe;77430;14;0;;;;;;;;80;;;24;;3;;;;;100;33;11;7;4;;504;62;19;12;13;11;;1;28;34;22;;;;96;80;7;;;;1;;;9;;5;54;225;;;94;6;;4;28;;8;;;4;;;;;;;;;79;;83;;;1;83;;99;;88;77;;;;;1;1;1;1;;
IRL;Ireland;2023;5040329;Western Europe;72390;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;90;;;;;;;;;;;
ITA;Italy;2018;59938885;Southern Europe;27030;20;3;9;;;25;83;3;169;73;7;6;9;3;5;6;;93;;100;9;24;7;15;94;477;28;24;8;11;20;6;2;35;36;15;0;7;;93;79;14;18;1;21946;1;2;0;24;11;12;53;73;1;4;84;4;1;2;33;1;38;50;16;8;13;;19;2;29,86;20;6;5;90;52;78;42;7;1;76;2;85;;76;52;11;0;0;18;1;0;1;0;90;32
ITA;Italy;2019;59815966;Southern Europe;27230;20;3;7;12;;24;84;3;165;73;6;6;9;3;4;5;1;94;;100;;23;6;14;94;;28;;8;;19;5;2;36;36;15;1;7;;93;79;11;18;1;22458;1;2;;22;10;12;56;75;1;;85;6;1;2;33;;36;51;15;9;14;;20;2;;;6;5;88;;78;41;8;1;77;2;85;;75;53;9;0;0;17;1;0;1;0;90;29
ITA;Italy;2020;59639898;Southern Europe;24910;20;3;6;;;25;82;3;197;;4;6;;3;;4;;92;23;100;12;21;7;13;95;;29;;7;;20;4;2;36;38;16;1;;;93;79;8;20;;22328;1;3;;24;9;11;57;78;2;;88;4;1;2;33;;36;51;;7;20;;21;2;;;5;4;89;;78;;;1;77;2;85;;76;53;8;0;1;;1;0;1;0;;
ITA;Italy;2021;59361259;Southern Europe;27120;20;3;;;;25;83;3;;74;5;;7;3;3;5;;92;;100;;22;7;13;91;;28;;10;;19;5;2;36;39;16;;;;93;79;8;19;;23460;1;3;;23;;12;56;83;1;;90;5;1;2;33;;39;52;;7;;4;18;;;;6;5;88;;78;;;1;77;;85;;77;56;;;;;1;0;1;0;;
ITA;Italy;2022;59119400;Southern Europe;28250;20;3;;;;;83;;;73;;;9;;3;;;;;100;29;21;6;12;;477;29;30;10;13;20;;2;33;43;16;;;;93;79;9;;;;1;;;19;;12;55;82;;;91;5;;2;33;;33;;;7;;;;;;;;;90;;78;;;1;77;;85;;68;56;;;;;1;0;1;0;;
ITA;Italy;2023;58955548;Southern Europe;28520;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;72;;;;;;;;;;;
LVA;Latvia;2018;1945394;Baltic States;12140;23;2;10;;;7;75;;522;47;28;16;46;4;11;8;;96;;100;8;39;6;8;94;487;42;17;7;11;4;20;1;31;29;20;9;0;75;96;82;8;40;1;14829;;3;0;12;7;8;19;7;1;3;82;8;1;1;36;1;44;25;16;7;24;;5;2;52,87;56;4;7;93;5;96;;6;1;97;1;97;4;80;58;9;4;0;28;;;;0;84;0
LVA;Latvia;2019;1925867;Baltic States;12300;23;2;8;23;;7;76;;485;47;24;15;44;4;8;7;3;99;;100;;35;6;9;94;;44;;7;;4;21;1;30;32;24;8;0;78;96;84;8;41;1;15453;;3;;10;6;9;22;12;1;;85;8;1;1;35;1;40;41;12;5;19;;4;3;;;4;8;82;;96;5;6;1;97;1;97;5;80;56;6;3;0;28;;;;0;84;0
LVA;Latvia;2020;1907244;Baltic States;11940;22;3;7;;;7;76;;503;50;20;16;41;4;9;7;;99;32;100;18;32;6;7;94;;44;;7;;4;22;1;29;26;24;7;;77;97;85;6;42;;15875;1;2;;12;8;8;19;16;1;;90;4;1;1;35;1;43;40;;5;18;;5;3;;;4;7;68;;96;;;1;97;1;97;4;81;57;5;4;1;;1;1;1;0;;
LVA;Latvia;2021;1886860;Baltic States;12870;23;0;;;;7;73;;;50;16;;40;4;7;8;;94;;100;;27;6;7;95;;46;;9;;5;15;2;28;22;23;;;76;97;85;5;42;;17880;1;4;;12;;10;23;12;1;;91;3;1;2;36;;45;44;;5;;8;6;;;;4;8;73;;96;;;1;97;;97;;81;59;;;;;1;1;1;0;;
LVA;Latvia;2022;1860978;Baltic States;13220;23;0;;;;;75;;;50;;;41;;8;;;;;100;23;;6;7;;484;46;22;10;13;3;;1;30;19;23;;;;97;;7;;;;1;;;11;;9;33;12;;;91;4;;2;34;;46;;;5;;;;;;;;;76;;96;;;1;97;;97;;79;59;;;;;1;1;1;0;;
LVA;Latvia;2023;1840324;Baltic States;13220;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;83;;;;;;;;;;;
LTU;Lithuania;2018;2889989;Baltic States;13400;23;0;11;;;12;76;0;479;44;43;24;40;4;1;6;;92;;98;25;32;6;5;89;480;56;26;7;14;2;14;0;22;11;26;9;1;76;95;93;28;25;5;18002;;3;0;9;6;8;19;13;1;3;78;12;1;1;37;1;24;53;9;6;15;;4;2;68,96;64;5;7;85;;84;2;3;1;92;2;95;;78;59;4;3;1;12;;;;0;85;
LTU;Lithuania;2019;2862266;Baltic States;14060;21;0;9;19;;12;77;1;466;46;41;23;41;4;1;7;3;92;;99;;32;6;4;90;;55;;7;;2;13;1;24;12;24;9;1;77;95;94;27;25;5;19455;;3;;11;6;8;18;10;1;;82;8;1;1;35;1;27;50;11;5;14;;4;3;;;5;7;87;;84;3;2;1;92;2;95;;78;60;3;2;0;12;;;;0;85;
LTU;Lithuania;2020;2835900;Baltic States;14060;21;0;8;;;13;75;1;540;44;28;21;42;4;1;6;;90;28;99;30;29;6;6;91;;56;;7;;2;13;0;26;14;24;6;;77;95;94;23;27;;20522;1;3;;13;9;8;19;18;1;;82;9;1;2;35;;25;45;;3;11;;4;3;;;5;6;86;;84;;;1;92;2;95;;79;60;3;2;1;;1;1;1;0;;
LTU;Lithuania;2021;2804633;Baltic States;14870;20;0;;;;12;74;1;;48;26;;41;3;3;5;;88;;99;;30;7;5;92;;58;;9;;1;12;1;28;22;24;;;77;95;95;23;28;;20999;1;4;;13;;8;24;25;1;;87;7;1;2;35;;27;44;;3;;12;4;;;;5;8;89;;84;;;1;92;;95;;80;61;;;;;1;1;1;0;;
LTU;Lithuania;2022;2768668;Baltic States;15100;21;0;;;;;76;;;48;;;47;;1;;;;;99;44;30;7;5;;477;58;28;9;17;1;;1;28;25;23;;;;95;95;18;;;;1;;;11;;8;30;28;;;88;8;;2;36;;27;;;4;;;;;;;;;89;;84;;;1;92;;95;;84;62;;;;;1;1;1;0;;
LTU;Lithuania;2023;2731442;Baltic States;14840;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;87;;;;;;;;;;;
LUX;Luxembourg;2018;601959;Western Europe;83390;17;0;1;;;44;82;;198;69;8;9;13;3;1;6;;99;;100;25;10;7;6;87;477;54;27;18;19;8;1;1;22;13;14;0;0;;100;94;2;9;17;34034;;4;0;8;6;12;54;709;1;4;93;2;2;3;31;1;21;49;11;9;18;;11;2;57,16;90;16;23;73;;;;;1;84;;37;;85;81;11;0;3;49;;;;1;79;-57
LUX;Luxembourg;2019;613867;Western Europe;84070;18;0;1;17;;43;83;;178;72;9;12;11;3;1;4;11;99;;100;;10;7;7;88;;56;;19;;9;1;1;28;13;16;0;1;;100;95;2;7;12;34674;;3;;7;6;12;51;669;1;;95;1;2;4;32;1;20;49;10;10;15;;11;3;;;16;22;71;;;;;1;84;;37;;84;80;11;1;1;50;;;;1;78;-64
LUX;Luxembourg;2020;626079;Western Europe;82030;17;0;2;;;43;82;;194;74;6;10;9;3;1;4;;99;23;100;24;8;;8;90;;61;;16;;7;1;1;32;18;20;0;;;100;95;4;12;;35274;1;2;;8;7;12;52;638;1;;94;0;2;4;31;;20;53;;9;15;;10;3;;;13;18;82;;;;;1;84;;37;;85;80;11;0;2;;1;1;1;1;;
LUX;Luxembourg;2021;634720;Western Europe;86540;18;0;;;;43;83;;;77;6;;6;3;1;4;;99;;100;;9;;9;89;;63;;18;;7;0;1;35;22;20;;;;100;95;3;12;;36319;1;2;;9;;14;52;676;1;;99;0;2;4;30;;14;55;;5;;18;4;;;;13;21;82;;;;;1;84;;37;;82;81;;;;;1;1;1;1;;
LUX;Luxembourg;2022;643922;Western Europe;85850;17;0;;;;;83;;;74;;;12;;1;;;;;100;41;9;7;8;;;61;;18;;7;;1;35;22;21;;;;100;96;2;;;;1;;;7;;13;49;531;;;98;1;;4;30;;15;;;15;;;;;;;;;76;;;;;1;84;;37;;80;77;;;;;1;1;1;1;;
LUX;Luxembourg;2023;651276;Western Europe;83320;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;82;;;;;;;;;;;
MLT;Malta;2018;485498;Southern Europe;22550;17;0;3;;;106;83;;203;75;13;4;30;6;0;4;;96;;;11;34;7;14;94;459;40;30;11;11;22;13;2;15;10;18;0;26;0;100;88;8;8;1;;;2;0;7;4;6;;105;1;3;84;0;1;2;29;1;7;10;;2;7;;8;1;16,97;66;3;12;99;19;99;8;15;1;91;;;53;73;54;13;2;2;30;;;;0;74;-12
MLT;Malta;2019;497674;Southern Europe;23190;17;0;4;29;;106;83;;187;74;22;4;31;6;0;3;5;96;;;;34;7;14;92;;41;;12;;21;12;1;15;10;11;0;30;0;100;88;8;8;1;;;1;;8;4;7;;115;1;;86;22;1;2;28;1;7;9;;3;8;;8;1;;;3;16;98;;99;9;16;1;91;;;59;70;54;14;1;0;33;;;;0;75;-10
MLT;Malta;2020;509595;Southern Europe;20850;17;0;3;;;126;82;;204;76;31;4;27;6;0;2;;95;20;;13;30;6;13;89;;40;;11;;18;10;1;13;10;11;0;;7;100;88;7;11;;;1;3;;10;4;7;32;122;1;;90;5;1;2;30;;9;11;;3;6;;13;1;;;3;12;97;;99;;;1;91;;;59;70;53;11;1;1;;1;0;1;0;;
MLT;Malta;2021;521121;Southern Europe;23330;17;0;;;;120;83;;;73;12;;31;6;1;2;;90;;;;;6;11;86;;43;;14;;16;11;1;13;11;23;;;7;100;88;8;12;;;1;3;;10;;7;33;108;1;;91;0;1;2;31;;4;14;;3;;6;11;;;;3;16;97;;99;;;1;91;;;;70;54;;;;;1;0;1;0;;
MLT;Malta;2022;532375;Southern Europe;24560;17;0;;;;;83;;;77;;;31;;0;;;;;;18;;6;10;;459;42;33;13;10;13;;;28;16;18;;;;100;88;8;;;;1;;;7;;7;30;138;;;93;0;;2;31;;4;;;3;;;;;;;;;94;;99;;;1;91;;;;62;51;;;;;1;0;1;0;;
MLT;Malta;2023;534197;Southern Europe;25160;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;60;;;;;;;;;;;
MNE;Montenegro;2018;632007;Candidate Countries;6230;24;2;13;;;;77;;;71;15;;6;3;3;;;42;;;;;6;5;;422;34;46;3;7;14;;4;24;22;28;1;;;85;50;11;39;1;;;;;21;15;7;;3;1;3;72;;0;1;35;2;75;4;;15;24;;;;;;4;;;;0;21;8;1;18;;49;;69;45;6;;3;31;;;;;65;
MNE;Montenegro;2019;630902;Candidate Countries;6480;25;2;12;;;;77;;;69;15;;10;3;4;;;33;;;;;5;5;;;39;;3;;13;;4;30;21;;1;;;85;52;10;38;1;;;;;21;15;9;;0;;;74;;0;1;34;;75;5;;12;26;;;;;;4;;;;18;22;9;1;26;;49;;67;45;7;;5;34;;;;;67;
MNE;Montenegro;2020;629890;Candidate Countries;5490;23;3;14;;;;76;;;70;15;;8;3;2;;;24;;;;;6;4;;;40;;3;;13;;4;26;15;;1;;;85;53;13;44;;;;;;27;18;10;16;3;;;80;;;1;33;;77;5;;9;22;;;;;;4;;;;18;;;1;26;;49;;66;45;4;;5;;;;;;;
MNE;Montenegro;2021;628205;Candidate Countries;6230;21;2;;;;;74;;;73;16;;10;2;2;;;18;;;;;;;;;;;;;;;;27;20;;;;;85;55;18;40;;;;;;;;7;18;2;;;81;;;1;33;;77;5;;8;;1;;;;;3;;;;18;;;1;26;;49;;66;46;;;;;;;;;;
MNE;Montenegro;2022;627512;Candidate Countries;6650;;2;;;;;;;;;;;;;;;;;;;;;6;;;405;;60;;9;;;;;22;;;;;85;57;;;;;1;;;;;;16;0;;;81;;;1;;;;;;;;;;;;;;;;;18;;;1;26;;49;;67;45;;;;;1;0;1;;;
MNE;Montenegro;2023;626653;Candidate Countries;6650;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;74;;;;;;;;;;;
NLD;Netherlands;2018;17247839;Western Europe;41450;13;1;2;;;62;82;1;193;76;5;11;23;4;0;4;;93;;100;27;11;8;7;89;502;48;16;19;13;10;15;0;34;31;16;0;5;100;100;97;2;7;1;25289;1;1;0;6;4;6;68;414;2;4;98;0;2;3;27;1;12;56;12;9;16;;29;2;42,36;45;9;12;73;53;97;37;19;1;80;;87;;90;82;18;1;5;26;1;1;1;1;88;-106
NLD;Netherlands;2019;17324246;Western Europe;41980;13;1;3;15;;59;82;1;185;75;5;10;26;4;1;3;6;94;;100;;10;7;8;91;;49;;20;;9;15;0;35;34;17;0;5;100;100;97;3;9;1;25844;1;0;;6;3;6;69;400;2;;98;0;2;3;27;1;14;57;10;10;15;;30;2;;;9;12;74;;97;39;19;1;80;;87;;91;82;16;1;4;27;1;1;1;1;88;-111
NLD;Netherlands;2020;17402277;Western Europe;40130;13;1;2;;;59;81;2;200;78;4;10;26;4;1;3;;94;12;100;34;9;8;7;92;;52;;19;;8;14;0;33;37;18;0;;100;100;97;2;14;;26826;1;0;;6;4;6;68;366;2;;97;0;2;4;28;1;15;57;;8;15;;30;3;;;8;10;74;;97;;;1;80;;87;;90;82;16;1;7;;1;1;1;1;;
NLD;Netherlands;2021;17466838;Western Europe;42390;14;1;;;;58;81;1;;73;4;;27;4;1;3;;93;;100;;9;7;5;93;;56;;27;;8;14;1;38;38;18;;;100;100;97;2;13;;28265;1;0;;4;;5;68;375;2;;99;0;2;4;26;;12;58;;13;;25;34;;;;8;11;74;;97;;;1;80;;87;;90;82;;;;;1;1;1;1;;
NLD;Netherlands;2022;17536553;Western Europe;43800;15;1;;;;;82;;;71;;;29;;0;;;;;;49;;7;6;;480;56;27;26;15;8;;1;36;42;19;;;;100;97;5;;;30283;1;;;4;;5;69;387;;;98;0;;4;26;;9;;;22;;;;;;;;;75;;97;;;1;80;;87;;78;80;;;;;1;1;1;1;;
NLD;Netherlands;2023;17591475;Western Europe;43420;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;87;;;;;;;;;;;
MKD;North Macedonia;2018;2112654;Candidate Countries;4540;22;17;31;;;;77;;;76;13;;6;8;5;;;75;;;3;;5;7;40;400;34;61;2;11;21;;2;38;20;24;1;2;;80;12;25;18;1;;1;;0;30;21;9;;0;0;2;79;5;0;0;32;1;61;;;10;15;;;;23,97;17;3;3;;;;;;1;24;3;94;;68;37;5;;0;8;1;0;0;;70;
