Country Code ISO3;Country;year;population;eusubreg;gdp/capita;sdg1_transfer;sdg1_umicpov;sdg1_material;sdg2_obesity;sdg2_trophic;sdg2_ammonia;sdg3_eulifee;sdg3_legap;sdg3_avoidable;sdg3_ghealth;sdg3_eutb;sdg3_suicide;sdg3_hgap;sdg3_u5mort;sdg3_incgap;sdg3_road;sdg3_binge;sdg3_vac;sdg3_smoking;sdg3_insucov;sdg3_ehealth;sdg3_oopocket;sdg3_swb;sdg4_earlyleav;sdg4_child;sdg4_pisa;sdg4_tertiary;sdg4_underach;sdg4_adult;sdg4_socioec;sdg5_empgap;sdg5_paygap;sdg5_caring;sdg5_wparl;sdg5_wmanage;sdg5_ictwomen;sdg6_shower;sdg6_exploit;sdg6_wastew;sdg6_safewat;sdg6_safesan;sdg7_warm;sdg7_eurenew;sdg7_co2twh;sdg8_income;sdg8_rights;sdg8_accident;sdg8_impacc;sdg8_euyneet;sdg8_unemp;sdg8_inwork;sdg9_uni;sdg9_epo;sdg9_eurd;sdg9_lpi;sdg9_bband;sdg9_bbandgap;sdg9_rdperson;sdg9_articles;sdg10_gini;sdg10_palma;sdg11_crowding;sdg11_recycle;sdg11_eupm25;sdg11_hburden;sdg11_dwelling;sdg12_explastic;sdg12_circular;sdg12_value;sdg12_nprod;sdg12_nimport;sdg13_co2gcp;sdg13_ghgimport;sdg14_bath;sdg14_fishstocks;sdg14_cpma;sdg14_trawl;sdg14_discard;sdg15_redlist;sdg15_cpta;sdg15_oxygen;sdg15_cpfa;sdg15_nitrate;sdg16_rsf;sdg16_cpi;sdg16_crime;sdg16_homicide;sdg16_crimepov;sdg16_detain;sdg16_justice;sdg16_admin;sdg16_power;sdg17_oda;sdg17_statperf;sdg17_sprofits
MKD;North Macedonia;2019;2114328;Candidate Countries;4750;22;16;30;;;;77;;;75;12;;8;7;5;;;75;;;;;5;7;42;;36;;3;;21;;2;40;17;24;2;3;;80;12;33;17;1;;1;;;25;17;9;;0;0;;82;4;0;0;31;;57;;;10;14;;;;;;4;3;;;;;;1;24;3;94;;68;35;7;;0;;1;1;0;;72;
MKD;North Macedonia;2020;2114024;Candidate Countries;4580;22;17;29;;;;74;;;77;12;;6;6;3;;;63;;;5;;5;6;30;;38;;3;;20;;2;36;21;23;2;;;80;12;24;19;;;1;;;26;16;8;;0;0;;79;4;0;0;31;;55;;;9;13;;;1;;;3;2;;;;;;1;27;3;94;;69;35;6;;0;;1;0;0;;;
MKD;North Macedonia;2021;2108119;Candidate Countries;4830;;15;;;;;73;;;;11;;;5;;;;70;;;;;6;;35;;;;;;;;;40;21;;;;;80;12;;17;;;1;;;;;;;3;;;84;5;;0;;;;;;;;2;;;;;3;3;;;;;;1;27;;94;;68;39;;;;;1;0;0;;;
MKD;North Macedonia;2022;2098541;Candidate Countries;4920;;15;;;;;;;;;;;;;;;;;;;;;5;;;376;;66;;13;;;;;24;;;;;80;12;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;1;27;;94;;68;40;;;;;1;0;0;;;
MKD;North Macedonia;2023;2088656;Candidate Countries;4980;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;74;;;;;;;;;;;
NOR;Norway;2018;5296038;EFTA;69840;13;1;2;;;29;83;2;178;77;4;13;15;2;2;2;;96;;100;29;14;7;10;97;497;49;19;20;8;4;13;0;41;40;22;0;0;67;99;78;1;72;0;28228;1;1;1;8;4;6;51;115;2;4;96;2;2;4;25;1;24;41;6;11;7;;;;46,50;55;8;11;;18;55;33;0;1;56;;64;;92;84;4;0;3;24;1;1;1;1;90;7
NOR;Norway;2019;5328602;EFTA;70150;13;1;2;14;;28;83;2;172;73;3;12;19;2;2;2;11;97;;100;;14;7;10;97;;48;;19;;4;13;0;41;40;21;0;0;66;99;78;1;74;0;28436;1;1;;8;4;6;52;121;2;;98;2;2;4;25;1;24;41;7;11;7;;;;;;8;11;;;55;31;0;1;57;;64;;92;84;4;1;2;;1;1;1;1;90;8
NOR;Norway;2020;5367955;EFTA;68850;13;1;2;;;28;83;1;172;75;3;12;18;2;1;2;;97;;100;33;14;7;10;97;;51;;16;;3;13;0;41;40;19;0;;67;99;78;1;77;;28280;1;1;;8;4;6;50;121;2;;96;8;2;5;25;1;24;41;;9;6;;;;;;8;8;;;55;;;1;57;;65;;92;84;4;1;2;;1;1;1;1;;
NOR;Norway;2021;5391723;EFTA;71160;;1;;;;29;83;1;;;3;;;2;;2;;97;;100;;14;7;12;97;;55;;20;;5;14;0;45;42;19;;;68;99;78;;74;;30056;1;1;;7;;;52;116;2;;99;0;2;5;;;;38;;;;12;;;;;8;7;;;55;;;1;57;;65;;93;85;;;;;1;1;1;1;;
NOR;Norway;2022;5414319;EFTA;72640;;1;;;;;83;;;;;;;;;;;;;100;52;;7;13;;474;56;31;21;10;6;;0;45;43;20;;;;99;78;;;;;1;;;7;;;52;122;;;99;0;;5;;;;;;;;;;;;;;;;;55;;;1;57;;65;;93;84;;;;;1;1;1;1;;
NOR;Norway;2023;5454319;EFTA;71870;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;95;;;;;;;;;;;
POL;Poland;2018;38533677;Central and Eastern Europe;12500;15;3;5;;;21;78;3;355;59;16;12;25;5;3;8;;93;;93;10;20;6;5;88;513;44;15;6;14;14;9;3;26;21;14;2;6;74;91;98;5;15;2;16166;1;2;0;12;4;10;28;14;1;3;84;6;1;1;28;1;48;34;24;6;12;;10;2;44,65;13;9;3;28;51;87;34;3;1;89;3;92;;73;60;5;1;0;10;1;1;1;0;89;6
POL;Poland;2019;38509236;Central and Eastern Europe;13070;15;2;4;19;;20;78;3;352;60;15;12;26;4;2;8;1;93;;93;;20;6;5;90;;44;;5;;15;7;3;28;24;14;2;9;74;90;98;4;15;2;16933;1;1;;12;3;10;27;12;1;;87;6;1;1;29;;45;34;19;6;11;;10;2;;;8;3;22;;87;37;1;1;89;3;92;;71;58;4;1;0;12;1;0;1;0;89;5
POL;Poland;2020;38477966;Central and Eastern Europe;12810;15;2;3;;;20;77;3;419;62;9;12;27;4;1;7;;80;26;93;11;20;6;5;91;;42;;4;;15;5;3;28;23;15;1;;75;90;98;3;16;;17828;1;1;;13;3;10;30;13;1;;90;3;1;1;27;;42;39;;5;6;;8;3;;;8;3;22;;87;;;1;89;3;92;;71;56;;1;;;1;0;1;0;;
POL;Poland;2021;38378767;Central and Eastern Europe;13770;15;2;;;;19;76;3;;64;10;;25;4;2;6;;80;;94;;20;6;6;90;;41;;5;;14;5;1;28;25;16;;;75;89;98;3;16;;17940;1;2;;13;;9;31;14;1;;92;2;1;1;27;;43;40;;6;;4;9;;;;9;3;44;;87;;;1;89;;92;;71;56;;;;;1;1;1;0;;
POL;Poland;2022;38236684;Central and Eastern Europe;14670;14;1;;;;;77;;;62;;;22;;1;;;;;97;20;18;7;5;;492;41;23;8;16;13;;1;28;24;17;;;;89;98;5;;;;1;;;11;;9;33;16;;;93;1;;1;26;;46;;;6;;;;;;;;;56;;87;;;1;89;;92;;66;55;;;;;1;0;1;1;;
POL;Poland;2023;41477607;Central and Eastern Europe;14750;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;68;;;;;;;;;;;
PRT;Portugal;2018;10298223;Southern Europe;18190;17;1;6;;;13;82;4;221;49;21;9;26;4;4;7;;99;;100;12;30;6;12;91;492;35;23;10;16;7;9;1;36;22;18;1;21;;95;91;19;30;1;18168;1;2;0;10;7;10;33;21;1;3;79;21;1;2;32;1;19;29;11;6;27;;2;2;29,97;26;5;4;91;69;71;28;27;1;77;;69;18;86;64;7;1;1;17;1;1;1;0;86;4
PRT;Portugal;2019;10281447;Southern Europe;18670;17;0;6;18;;13;82;4;215;50;19;9;25;3;3;7;4;99;;100;;31;6;11;92;;37;;11;;7;11;1;40;25;18;1;11;;95;91;19;31;1;18852;1;2;;9;7;11;37;26;1;;81;17;1;3;32;1;18;29;9;6;24;;2;2;;;5;4;92;;71;28;26;1;77;;69;18;87;62;7;1;0;18;1;0;1;0;86;3
PRT;Portugal;2020;10298399;Southern Europe;17100;16;1;5;;;13;81;4;225;51;16;8;26;3;3;5;;99;21;100;17;28;6;9;93;;42;;10;;6;11;1;40;27;21;0;;;95;92;18;34;;18469;1;3;;11;7;10;40;24;2;;84;15;1;3;31;;14;27;;4;25;;2;2;;;4;4;89;;71;;;1;77;;69;22;88;61;7;1;4;;1;0;1;0;;
PRT;Portugal;2021;10297984;Southern Europe;18090;18;0;;;;13;82;4;;50;16;;26;3;4;5;;98;;100;;29;6;6;91;;48;;13;;6;12;1;41;31;21;;;;95;92;16;34;;19306;1;2;;10;;11;44;28;2;;87;14;1;3;33;;19;30;;6;;5;3;;;;4;4;88;;71;;;1;77;;69;;90;62;;;;;1;0;1;0;;
PRT;Portugal;2022;10282222;Southern Europe;19310;16;0;;;;;82;;;50;;;24;;6;;;;;;23;29;6;6;;478;44;30;14;18;6;;1;36;33;20;;;;95;93;18;;;20809;1;;;8;;10;43;30;;;88;14;;3;32;;21;;;5;;;;;;;;;85;;71;;;1;77;;69;;87;62;;;;;1;0;1;0;;
PRT;Portugal;2023;10259508;Southern Europe;19710;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;85;;;;;;;;;;;
ROU;Romania;2018;19654874;Central and Eastern Europe;8910;24;7;17;;;11;75;3;517;71;68;10;15;7;6;10;;86;;;5;19;6;16;82;428;25;47;1;19;19;2;0;20;11;24;26;19;48;82;80;10;24;1;;1;4;0;21;4;15;21;3;1;3;81;18;0;1;35;1;56;11;20;10;10;;2;3;39,97;13;4;3;57;;89;;1;1;76;4;61;;76;47;12;1;1;7;1;1;1;0;76;
ROU;Romania;2019;19558692;Central and Eastern Europe;9300;24;6;15;11;;10;76;3;505;71;65;9;17;7;6;10;11;88;;;;19;6;15;79;;26;;1;;19;3;0;20;13;24;22;9;49;82;82;9;24;1;;1;3;;21;4;16;22;2;0;;84;14;0;1;35;1;54;12;16;9;9;;1;3;;;4;3;76;;89;;1;1;76;3;61;;74;44;10;1;2;8;1;1;1;0;78;
ROU;Romania;2020;19489730;Central and Eastern Europe;9000;23;7;15;;;11;74;2;593;73;43;9;19;7;8;9;;87;30;;5;19;7;16;78;;25;;1;;19;2;0;20;13;26;21;;52;82;85;10;24;;;1;3;;21;5;15;22;3;0;;86;14;0;1;34;;54;12;;7;10;;2;3;;;4;3;70;;89;;;1;76;3;61;;74;44;9;1;1;;1;1;1;0;;
ROU;Romania;2021;19394347;Central and Eastern Europe;9600;23;6;;;;11;73;2;;73;45;;20;6;9;9;;86;;;;21;7;15;76;;23;;5;;20;4;1;20;18;26;;;53;82;87;10;24;;;1;3;;20;;16;26;2;0;;89;10;0;1;34;;49;11;;8;;2;1;;;;4;3;84;;89;;;1;76;;61;;75;45;;;;;1;1;1;0;;
ROU;Romania;2022;19262773;Central and Eastern Europe;10030;21;5;;;;;75;;;73;;;14;;7;;;;;;8;;6;16;;428;25;49;5;26;19;;0;20;18;25;;;;82;88;15;;;;1;;;20;;15;31;2;;;89;12;;1;32;;51;;;9;;;;;;;;;92;;89;;;1;76;;61;;68;46;;;;;1;1;1;0;;
ROU;Romania;2023;20055760;Central and Eastern Europe;10250;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;69;;;;;;;;;;;
SRB;Serbia;2018;7449588;Candidate Countries;5200;24;6;16;;;;76;2;399;56;17;13;18;6;12;;;92;;;6;;6;7;66;443;33;40;4;9;15;10;2;38;21;19;2;7;13;75;26;10;20;2;9882;1;;0;20;13;10;;1;1;3;73;;1;1;36;1;61;0;;31;17;;;1;11,50;15;6;3;;;;;;1;29;2;23;8;70;39;15;1;0;16;1;0;0;;75;
SRB;Serbia;2019;7418048;Candidate Countries;5460;23;7;15;17;;;76;2;400;59;14;13;19;6;11;;2;87;;;;;6;7;67;;33;;4;;15;;2;38;16;22;2;2;13;75;26;10;21;2;10299;1;;;19;11;9;22;1;1;;80;;1;1;33;1;60;;;22;18;;;1;;;6;2;;;;;;1;29;2;25;8;69;39;11;1;0;17;1;0;0;;76;
SRB;Serbia;2020;7384063;Candidate Countries;5440;22;8;14;;;;75;2;489;64;14;13;21;6;8;;;78;;;6;;6;6;69;;33;;4;;15;;2;39;22;25;2;;14;75;26;10;26;;10481;1;;;20;9;8;;1;1;;81;;1;1;33;;60;15;;18;11;;;1;;;6;2;;;;;;1;29;2;25;12;68;38;10;1;0;;1;0;0;;;
SRB;Serbia;2021;7331946;Candidate Countries;5920;21;6;;;;;73;2;;64;15;;18;6;10;;;78;;;;;6;6;68;;34;;5;;15;;1;40;23;23;;;15;75;26;9;25;;11821;1;;;19;;6;25;3;1;;82;;1;1;33;;59;17;;15;;1;;;;;4;3;;;;;;1;29;;25;;68;38;;;;;1;0;0;;;
SRB;Serbia;2022;7261591;Candidate Countries;6230;;5;;;;;;;;;;;;;;;;;;;2;;7;5;;443;33;43;5;13;14;;1;;19;23;;;;75;25;;;;;1;;;15;;;29;2;;;83;;;1;;;;;;;;;;;;;;;;;;;;1;29;;25;;62;36;;;;;1;0;0;;;
SRB;Serbia;2023;7181140;Candidate Countries;6430;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;59;;;;;;;;;;;
SVK;Slovak Republic;2018;5443195;Central and Eastern Europe;15580;12;1;7;;;15;77;2;407;67;6;8;19;6;2;5;;96;;95;9;19;6;9;78;469;37;25;4;21;9;20;1;21;24;13;1;1;66;99;82;5;12;1;14781;;2;0;14;7;6;21;9;1;3;81;14;1;2;21;1;55;36;17;4;5;;5;1;32,89;27;7;6;56;;;;;1;86;3;86;18;80;50;5;1;4;15;;;;0;86;1
SVK;Slovak Republic;2019;5450296;Central and Eastern Europe;15960;12;1;8;20;;14;78;2;395;65;5;7;20;6;2;5;1;96;;95;;19;6;8;78;;39;;4;;8;18;1;21;29;14;1;1;68;99;82;8;17;1;15519;;2;;14;6;4;17;8;1;;82;9;1;2;23;1;57;39;14;6;6;;6;1;;;6;5;63;;;;;1;86;2;86;16;76;50;6;1;5;16;;;;0;86;1
SVK;Slovak Republic;2020;5457552;Central and Eastern Europe;15400;11;1;6;;;13;77;2;431;65;3;7;27;6;4;5;;96;25;95;15;19;7;8;78;;39;;3;;7;16;1;23;31;16;1;;69;99;82;6;17;;15592;1;1;;14;7;5;16;10;1;;86;0;1;2;21;;48;45;;3;5;;11;2;;;6;5;56;;;;;1;86;2;86;19;77;49;4;1;3;;1;1;1;0;;
SVK;Slovak Republic;2021;5455809;Central and Eastern Europe;16200;12;1;;;;12;75;3;;65;3;;18;6;3;5;;95;;95;;19;6;8;77;;40;;5;;9;17;0;21;28;15;;;70;99;82;6;17;;16308;1;1;;14;;7;18;8;1;;90;6;1;2;22;;52;49;;7;;7;8;;;;6;6;50;;;;;1;86;;86;;77;52;;;;;1;1;1;0;;
SVK;Slovak Republic;2022;5439435;Central and Eastern Europe;16360;14;1;;;;;77;;;66;;;14;;4;;;;;;19;;6;7;;458;39;33;13;26;8;;0;22;30;15;;;;99;82;7;;;17313;1;;;12;;7;25;9;;;91;7;;2;21;;58;;;2;;;;;;;;;59;;;;;1;86;;86;;78;53;;;;;1;1;1;0;;
SVK;Slovak Republic;2023;5847471;Central and Eastern Europe;16490;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;83;;;;;;;;;;;
SVN;Slovenia;2018;2102297;Central and Eastern Europe;20240;13;1;4;;;36;82;2;253;65;5;17;28;2;0;4;;93;;100;15;12;6;4;91;504;41;16;11;15;7;9;1;22;28;17;0;1;69;97;83;3;21;1;18234;1;2;0;8;5;6;26;48;2;3;87;1;2;3;23;1;20;59;18;5;23;;10;2;33,01;43;7;7;87;;63;39;7;1;74;1;84;14;78;60;8;1;0;17;1;1;1;0;89;0
SVN;Slovenia;2019;2109551;Central and Eastern Europe;20780;12;1;3;20;;36;82;2;245;67;5;18;30;2;1;5;5;94;;100;;12;7;5;92;;44;;11;;7;8;1;22;25;20;0;0;70;98;83;2;22;1;19130;1;2;;8;5;5;26;58;2;;89;11;2;3;24;1;18;59;15;4;21;;11;2;;;7;6;81;;63;38;7;1;74;1;84;13;78;60;8;0;0;24;1;1;1;0;89;0
SVN;Slovenia;2020;2116252;Central and Eastern Europe;19770;12;1;3;;;35;81;2;268;67;4;17;28;2;0;4;;94;27;100;25;12;7;4;93;;45;;8;;6;3;1;21;23;17;0;;69;98;84;3;25;;19772;1;2;;8;5;5;28;78;2;;90;5;2;3;24;;18;59;;4;21;;10;2;;;6;6;85;;63;;;1;74;1;84;12;77;60;7;1;0;;1;1;1;0;;
SVN;Slovenia;2021;2119030;Central and Eastern Europe;21350;12;1;;;;36;81;2;;69;4;;24;2;2;5;;86;;100;;13;7;3;92;;48;;19;;7;4;1;22;19;17;;;68;98;84;2;25;;21183;1;2;;7;;5;23;55;2;;93;4;2;4;23;;20;61;;4;;64;11;;;;6;7;83;;63;;;1;74;;84;;77;57;;;;;1;1;1;0;;
SVN;Slovenia;2022;2119789;Central and Eastern Europe;21870;12;1;;;;;81;;;68;;;26;;1;;;;;;27;13;7;4;;484;47;25;22;16;7;;0;30;23;18;;;;98;84;3;;;;1;;;8;;5;26;58;;;93;2;;4;23;;19;;;4;;;;;;;;;79;;63;;;1;74;;84;;69;56;;;;;1;1;1;0;;
SVN;Slovenia;2023;2119899;Central and Eastern Europe;22090;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;71;;;;;;;;;;;
ESP;Spain;2018;46651296;Southern Europe;24890;22;2;5;;;19;84;5;178;74;11;7;13;3;0;4;;96;;100;36;22;7;18;98;482;44;;11;;12;12;1;40;24;17;0;7;88;100;90;9;17;1;19353;1;2;0;15;15;13;54;38;1;4;86;13;1;2;33;1;11;35;12;9;16;;9;2;43,26;21;6;5;87;32;86;51;13;1;58;3;51;;79;58;11;1;3;16;1;1;1;0;88;23
ESP;Spain;2019;46932790;Southern Europe;25180;21;2;5;16;;19;84;4;173;75;10;7;13;3;0;4;2;95;;100;;22;7;17;97;;47;;11;;12;9;1;42;26;19;0;8;87;100;90;8;18;1;20191;1;2;;15;14;13;56;40;1;;91;8;1;2;33;1;15;38;12;9;15;;10;2;;;5;4;88;;86;51;12;1;58;3;51;;78;62;12;1;2;16;1;1;1;0;89;21
ESP;Spain;2020;47329954;Southern Europe;22260;21;2;7;;;19;82;5;206;73;7;8;17;3;1;3;;94;24;101;40;20;7;16;97;;47;;11;;11;9;1;42;29;19;0;;87;100;90;11;21;;19678;1;2;;17;16;12;56;38;1;;95;5;1;2;32;;17;41;;8;20;;9;3;;;5;4;88;;86;;;1;58;4;51;;78;62;14;1;4;;1;1;1;0;;
ESP;Spain;2021;47397660;Southern Europe;23670;22;2;;;;19;83;6;;71;8;;15;3;0;3;;92;;100;;21;7;13;96;;49;;14;;11;9;1;41;33;19;;;;100;90;14;21;;20504;1;2;;14;;13;56;41;1;;96;3;1;2;33;;14;37;;10;;4;8;3;;;5;4;90;;86;;;1;58;;51;;80;61;;;;;1;1;1;0;;
ESP;Spain;2022;47576210;Southern Europe;24810;20;2;;;;;83;;;70;;;15;;0;;;;;100;55;;6;14;;477;51;27;15;14;11;;1;41;36;18;;;;100;90;17;;;;1;;;13;;12;56;41;;;96;4;;2;32;;13;;;9;;;;;;;;;88;;86;;;1;58;;51;;77;60;;;;;1;1;1;0;;
ESP;Spain;2023;47541049;Southern Europe;25210;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;75;;;;;;;;;;;
SWE;Sweden;2018;10110167;Northern Europe;43760;16;1;2;;;15;83;1;183;76;5;13;21;3;2;3;;97;;100;25;14;7;8;95;503;48;19;31;13;5;12;0;47;36;21;0;1;96;100;95;2;54;0;23832;1;1;0;7;6;7;66;399;3;4;93;4;2;4;27;1;42;46;6;8;8;;7;4;36,05;29;4;9;73;39;60;23;7;1;59;;59;;92;85;14;1;2;28;1;1;1;1;89;14
SWE;Sweden;2019;10214429;Northern Europe;44180;17;1;2;15;;15;83;2;170;76;5;13;23;3;2;2;4;97;;100;;14;7;7;96;;48;;34;;5;12;0;48;38;21;0;0;96;100;95;2;56;0;24225;1;1;;6;7;8;67;428;3;;96;0;2;4;28;1;41;47;6;9;7;;7;4;;;4;8;79;;60;22;8;1;59;;59;;92;85;13;1;1;28;1;1;1;1;89;13
SWE;Sweden;2020;10321414;Northern Europe;42910;16;1;2;;;15;82;1;185;77;4;12;21;3;2;2;;97;7;100;28;13;7;8;96;;49;;29;;5;11;0;50;38;21;0;;96;100;96;3;60;;24069;1;0;;7;8;8;66;427;3;;94;6;2;4;27;1;40;38;;8;7;;7;4;;;4;7;79;;60;;;1;59;;59;;91;85;14;1;0;;1;1;1;1;;
SWE;Sweden;2021;10416525;Northern Europe;45280;16;1;;;;15;83;2;;72;4;;19;3;1;2;;97;;100;;13;7;8;96;;49;;35;;5;11;0;48;38;22;;;;100;96;2;63;;25343;1;1;;6;;7;66;475;3;;93;0;2;4;27;;43;40;;9;;10;7;;;;3;7;75;;60;;;1;59;;59;;93;85;;;;;1;1;1;1;;
SWE;Sweden;2022;10517669;Northern Europe;46170;16;1;;;;;83;;;67;;;20;;2;;;;;;49;13;7;9;;487;52;27;36;15;6;;0;46;35;23;;;;100;96;3;;;26866;1;;;6;;8;65;482;;;94;4;;4;28;;39;;;9;;;;;;;;;75;;60;;;1;59;;59;;89;83;;;;;1;1;1;1;;
SWE;Sweden;2023;10581025;Northern Europe;45860;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;88;;;;;;;;;;;
CHE;Switzerland;2018;8484122;EFTA;61690;15;1;2;;;33;84;2;160;81;6;12;20;4;2;3;;95;;100;;23;8;4;50;498;51;17;32;16;9;19;1;;;15;0;1;;97;100;1;;1;28731;;1;1;7;5;7;75;935;;4;;;;5;30;1;15;53;11;13;10;;;3;23,45;42;4;13;75;;;;;1;37;;60;14;89;85;8;0;2;45;;;;0;88;-102
CHE;Switzerland;2019;8544746;EFTA;61950;16;1;2;;;33;84;1;153;81;5;12;19;4;1;2;;95;;100;;23;8;4;49;;53;;32;;9;19;1;;;17;0;1;;97;100;0;;0;29077;;1;;6;4;8;76;964;3;;96;0;2;5;31;1;14;53;9;14;11;;;3;;;4;13;82;;;;;1;37;;60;14;89;85;7;0;2;44;;;;0;87;-112
CHE;Switzerland;2020;8606431;EFTA;60190;16;1;1;;;33;83;1;165;83;5;11;17;4;1;3;;96;;100;;23;8;4;50;;53;;28;;8;18;2;;;16;0;;;97;100;0;;;29882;;1;;6;5;8;76;941;;;;;;6;31;;14;53;;14;11;;;3;;;4;13;72;;;;;1;37;;60;15;89;85;7;1;0;;;;;0;;
CHE;Switzerland;2021;8670795;EFTA;62950;15;1;;;;33;84;3;;82;5;;21;4;1;2;;95;;100;;22;7;5;50;;52;;23;;8;18;1;;;16;;;;97;100;0;;;30611;;;;;;7;76;977;;;99;2;;6;31;;13;53;;15;;10;;3;;;4;11;83;;;;;1;37;;60;;89;84;;;;;;;;1;;
CHE;Switzerland;2022;8712018;EFTA;64030;;1;;;;;84;;;;;;;;;;;;;;;;7;6;;498;51;19;22;21;8;;1;;;16;;;;97;100;;;;;;;;;;;76;1031;;;;;;6;;;;;;;;;;;;;;;78;;;;;1;37;;60;;83;82;;;;;;;;1;;
CHE;Switzerland;2023;8768926;EFTA;63490;;1;;;;;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;84;;;;;;;;;;;
TUR;Türkiye;2018;82466922;Candidate Countries;11570;22;7;26;;;20;79;3;306;67;16;5;;11;9;;;96;;99;25;17;5;31;43;462;32;37;6;11;41;;2;17;15;15;1;14;61;;71;19;;1;15086;0;;0;28;11;13;41;7;1;3;84;;1;1;43;2;69;12;;10;36;;;;33,74;7;5;3;;57;4;26;6;1;2;;4;;47;41;11;1;0;21;1;0;0;1;86;5
TUR;Türkiye;2019;83151687;Candidate Countries;11500;22;9;26;22;;21;79;3;285;66;16;4;;10;9;;0;97;;99;;17;5;29;43;;34;;6;;39;;2;17;18;13;1;14;61;;73;19;;1;14712;0;;;30;14;13;39;6;1;;88;;1;1;42;2;66;12;;11;37;;;;;;5;3;;;4;19;5;1;2;;4;;47;39;11;1;0;16;1;0;0;1;85;6
TUR;Türkiye;2020;83811681;Candidate Countries;11600;23;9;27;;;22;;;;69;16;;;10;5;;;95;;99;27;16;5;27;42;;36;;6;;38;;3;17;18;17;1;;61;;75;20;;;14159;0;;;32;13;13;39;7;1;;91;;1;1;43;;64;12;;10;35;;;;;;5;2;;;4;;;1;2;;4;;50;40;10;;0;;1;0;0;1;;
TUR;Türkiye;2021;84459174;Candidate Countries;12810;22;7;;;;23;;;;67;18;;;9;7;;;95;;99;;16;4;;32;;;;;;;;;17;18;;;;;;77;21;;;15979;0;;;;;13;40;9;1;;92;;;1;43;;65;12;;12;;0;;;;;5;3;;;4;;;1;2;;4;;50;38;;;;;1;0;0;1;;
TUR;Türkiye;2022;85091633;Candidate Countries;13380;;6;;;;;;;;;;;;;;;;;;;52;;5;;;462;;39;;13;;;;;17;;;;;;79;;;;;0;;;;;;40;;;;94;;;1;;;;;;;;;;;;;;;;;4;;;1;2;;4;;41;36;;;;;1;0;0;1;;
TUR;Türkiye;2023;85590849;Candidate Countries;13790;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;34;;;;;;;;;;;
GBR;United Kingdom;2018;66259843;;32640;19;1;5;;;;81;7;238;73;8;8;22;4;2;3;;92;;100;14;15;7;11;100;503;48;19;15;12;;20;1;29;30;17;0;;;100;98;5;;1;23669;1;1;0;;4;10;92;;2;4;95;0;1;3;34;2;10;44;10;15;18;;16;2;30,86;24;6;6;63;20;81;30;4;1;81;;91;;77;80;24;0;2;;1;1;1;1;83;-114
GBR;United Kingdom;2019;66606144;;32910;;1;;;;;;;;;8;;;4;;;;91;;100;;16;7;11;100;;49;;15;;;;1;30;33;17;;;;100;98;;;1;24508;1;;;;4;;94;;2;;96;2;1;3;;2;;;10;;;;16;;;;5;6;66;;81;30;5;1;81;;91;;78;77;;;;;1;1;1;1;83;
GBR;United Kingdom;2020;66951174;;32000;;2;;;;;;;;;7;;;4;;;;91;12;100;21;13;7;;;;;;;;;;;31;35;;;;;100;98;;;;;1;;;;;;93;;;;97;4;;3;;1;;;;;;;;;;;5;5;;;81;;;1;81;;91;;77;77;;;;;1;1;1;1;;
GBR;United Kingdom;2021;67167774;;32600;;2;;;;;;;;;6;;;4;;;;91;;100;;13;7;;;;;;;;;;;31;38;;;;;100;98;;;;;1;;;;;;93;;;;;;;3;;;;;;;;10;;;;;5;5;;;81;;;1;81;;91;;78;78;;;;;1;1;1;1;;
GBR;United Kingdom;2022;67394305;;33120;;2;;;;;;;;;;;;;;;;;;;;14;7;;;494;;24;;11;;;;;;;;;;100;98;;;;;1;;;;;;93;;;;;;;3;;;;;;;;;;;;;;;;;81;;;1;81;;91;;79;73;;;;;1;1;1;1;;
GBR;United Kingdom;2023;67623566;;33780;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;79;;;;;;;;;;;
